,X,baseMean,log2FoldChange,lfcSE,pvalue,padj
250,ENSG00000100321,3.770855606,-1.813031093,1.123143877,0.015949309,0.044361147
1194,ENSG00000164818,8.615102856,-1.290488311,0.653465314,0.016022274,0.044506318
987,ENSG00000148700,16.08170726,-1.05761241,0.500714745,0.01621527,0.044970001
136,ENSG00000075702,6.707695418,-1.504383964,0.82297777,0.016529892,0.045595145
386,ENSG00000108406,17.72963566,-1.036874216,0.494529991,0.017260818,0.047233649
647,ENSG00000127152,4.022426924,-1.688387658,1.024286684,0.017616199,0.048034686
681,ENSG00000130054,6.196418508,-1.493841583,0.839381319,0.017647705,0.048101586
854,ENSG00000139734,5.537116008,-1.641180252,0.958686672,0.01794046,0.048668832
20,ENSG00000011105,14.30596043,-1.097777887,0.537540224,0.017975477,0.048754241
156,ENSG00000080986,3.091834447,-2.0257484,1.448375166,0.018180751,0.049233587
471,ENSG00000114405,3.761342241,-1.72491609,1.095088003,0.018324646,0.049545478
1041,ENSG00000154839,2.68977457,-2.186731221,1.58855838,0.018506809,0.049969469
